path,stratum,confidence,reason,imports_surface
core/heartbeat.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/inventory.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/kanban_bridge.py,S5,HIGH,edge capability (kanban),
core/kanban_db.py,S5,HIGH,edge capability (kanban),
core/kanban_decompose.py,S5,HIGH,edge capability (kanban),
core/kanban_diagnostics.py,S5,HIGH,edge capability (kanban),
core/kanban_specify.py,S5,HIGH,edge capability (kanban),
core/lifecycle.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/loops.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/managed_scope.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/managed_uv.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/mcp_security.py,S4,HIGH,extension infrastructure (mcp_),
core/media_cache.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/mem_trim.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/memory_setup.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/middleware.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/moa_config.py,S5,HIGH,edge capability (moa_),
core/model_catalog.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/model_normalize.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/model_resolution.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/model_search.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/model_switch.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/models.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/observability/__init__.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/observability/relay_runtime.py,S5,HIGH,edge capability (relay_),
core/observability/relay_shared_metrics.py,S5,HIGH,edge capability (relay_),
core/observability/shared_metrics.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/observability/shared_metrics_contract.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/observability/shared_metrics_subscriber.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/personality.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/platforms.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/plugin_capabilities.py,S4,HIGH,extension infrastructure (plugin),
core/plugin_index.py,S4,HIGH,extension infrastructure (plugin),
core/plugin_platform.py,S4,HIGH,extension infrastructure (plugin),
core/plugin_state.py,S4,HIGH,extension infrastructure (plugin),
core/plugins.py,S4,HIGH,extension infrastructure (plugin),
core/process_utils.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/profile_describer.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/profiles.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/projects_db.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/prompt_size.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/provider_registry.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/providers.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/recovery_state.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/resource_limits.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/route_identity.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/runtime_provider.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/secret_prompt.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/session_context.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/session_steer.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/sizefmt.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/sqlite_runtime.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/sqlite_safe_read.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/sqlite_util.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/timefmt.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
